window,name,mape,rmse
8,linear regression: baseline,4341784132.414402,1009.4906326836186
8,poisson regression emb,50360862.62492089,912.1071148857675
8,poisson regression pagerank + emb,100.0,912.450708568141
8,decision tree: history + pagerank + emb,1737472800.5250406,1114.655784895812
8,decision tree: history + pagerank,670970707.3356194,428.7633603747523
8,decision tree: history + emb,642569620.9777428,242.9896770867602
8,decision tree: pagerank + emb,1638661366.3515906,1088.7791180114634
8,decision tree: history,1785017209.8048143,1126.7751296130907
8,decision tree: pagerank,1734430504.0741384,1087.8055138494522
8,decision tree: emb,1656207286.2578363,1081.4887310923334
8,decision tree: baseline,1771105850.0452173,213.71014156768737
9,persistence,280685079.02656394,447.12415855420295
9,mean,559008569.8261161,475.0532091415881
9,linear regression: history + pagerank + emb,3880600790.445593,1557.5304425695304
9,linear regression: history + pagerank,3879781622.252477,1556.9311282449546
9,linear regression: history + emb,3885226927.797488,1559.1670760333257
9,linear regression: pagerank + emb,1092022475.4821022,460.22167493251504
9,linear regression: history,3885226927.797488,1559.1670760333257
9,linear regression: pagerank,1087179258.5744863,460.20343176919266
9,linear regression: emb,1017594756.1448244,457.2567145983472
9,linear regression: baseline,1012455548.6818767,457.2378587173064
9,poisson regression emb,50143198.3143488,1036.1209473139718
9,poisson regression pagerank + emb,100.0,1036.4324415346646
9,decision tree: history + pagerank + emb,353156160.04467,584.9950747398208
9,decision tree: history + pagerank,329016087.8997243,505.77104403636423
9,decision tree: history + emb,373142530.0595542,879.930230403906
9,decision tree: pagerank + emb,381613022.8538708,485.5550686535431
9,decision tree: history,355605583.0743115,701.8850786268913
9,decision tree: pagerank,372077756.7188546,442.0176543074229
9,decision tree: emb,381434542.52475256,459.1133083936019
9,decision tree: baseline,458811176.2698628,474.2397532180771
10,persistence,444438085.93894655,414.0643700453822
10,mean,741408778.3925467,326.16501838588465
10,linear regression: history + pagerank + emb,3341372409.558154,1845.2053499265792
10,linear regression: history + pagerank,3322197042.555621,1849.7920786685816
10,linear regression: history + emb,3303748394.307069,1855.3444259746339
10,linear regression: pagerank + emb,734679810.2803288,363.9647373166334
10,linear regression: history,3303748394.307069,1855.3444259746339
10,linear regression: pagerank,735941016.2705663,363.4178673064902
10,linear regression: emb,735129659.0503352,364.21305168753247
10,linear regression: baseline,736060788.8688264,363.7164192761406
10,poisson regression emb,51930341.24897962,891.2431545987502
10,poisson regression pagerank + emb,100.0,891.5684714109814
10,decision tree: history + pagerank + emb,688062787.4309143,526.6107425715927
10,decision tree: history + pagerank,680574060.7270434,639.9718904051197
10,decision tree: history + emb,560448902.8309532,625.0437791045318
10,decision tree: pagerank + emb,489781198.88125324,534.1144626711191
10,decision tree: history,686151963.2310853,456.18182280608596
10,decision tree: pagerank,564076017.795686,442.9524725380477
10,decision tree: emb,494086769.80975616,468.26436442669893
10,decision tree: baseline,572071036.045474,389.9630969164304
11,persistence,295555054.50536746,295.4173337216836
11,mean,525062608.62528074,236.394835934574
11,linear regression: history + pagerank + emb,1862619560.0893621,758.201142709724
11,linear regression: history + pagerank,1832328662.1667662,761.1672570038953
11,linear regression: history + emb,1826068811.6580818,762.8936557628451
11,linear regression: pagerank + emb,704355216.9981388,273.76891983777494
11,linear regression: history,1826068811.6580818,762.8936557628451
11,linear regression: pagerank,690039383.4217825,271.1606492584433
11,linear regression: emb,673024397.6347619,277.54629719863834
11,linear regression: baseline,658377187.7965486,274.95005041273816
11,poisson regression emb,51128418.459523454,871.366277772633
11,poisson regression pagerank + emb,100.0,871.7079818982506
11,decision tree: history + pagerank + emb,500698829.9097093,408.0525687002865
11,decision tree: history + pagerank,694340712.5796022,323.51100410797204
11,decision tree: history + emb,725705282.8759043,472.9001427708953
11,decision tree: pagerank + emb,275506942.9565007,394.13902083487415
11,decision tree: history,514951856.66963345,480.9042832859961
11,decision tree: pagerank,255686737.432888,262.5456542100307
11,decision tree: emb,268362940.50141332,384.9517460279825
11,decision tree: baseline,309410597.24952054,331.6983685946096
12,persistence,244208966.25670293,1318.4949909325398
12,mean,484621060.7608895,1348.9650677314407
12,linear regression: history + pagerank + emb,1707039635.1007338,1382.894655385899
12,linear regression: history + pagerank,1697327238.8093696,1383.1114422997334
12,linear regression: history + emb,1700155501.5508988,1382.4862870519112
12,linear regression: pagerank + emb,740595206.9038727,1359.2347153884143
12,linear regression: history,1700155501.5508988,1382.4862870519112
12,linear regression: pagerank,737712591.6386821,1359.2192460628123
12,linear regression: emb,719086297.7943447,1359.195350200368
12,linear regression: baseline,716086526.6458004,1359.179582475281
12,poisson regression emb,50005726.17366156,1756.4296665514178
12,poisson regression pagerank + emb,100.0,1756.6281254329208
12,decision tree: history + pagerank + emb,383251240.40234715,1328.801181604373
12,decision tree: history + pagerank,412492582.6202846,1465.5130554536165
12,decision tree: history + emb,381693712.43989456,1423.7761445635883
12,decision tree: pagerank + emb,278554255.259896,1391.7947068028848
12,decision tree: history,386139690.15873,1439.5061513526084
12,decision tree: pagerank,261068345.41427797,1403.5644370211091
12,decision tree: emb,302380008.55421096,1389.0403107136588
12,decision tree: baseline,369444107.362082,1388.7172370767184
13,persistence,350968044.154996,1314.0571776411336
13,mean,611634463.5995827,1024.8049041812735
13,linear regression: history + pagerank + emb,6752240833.43269,1775.8211757932177
13,linear regression: history + pagerank,6770092657.650216,1770.3443921254652
13,linear regression: history + emb,6816279898.018299,1773.7751828210974
13,linear regression: pagerank + emb,6156360149.049079,2615.7293021782334
13,linear regression: history,6816279898.018299,1773.7751828210974
13,linear regression: pagerank,6169579996.377764,2615.9191890283378
13,linear regression: emb,6101792123.049776,2710.597175827586
13,linear regression: baseline,6115060974.040636,2710.7723560351565
13,poisson regression emb,50154654.271145314,945.4091870559316
13,poisson regression pagerank + emb,100.0,945.7469215103689
13,decision tree: history + pagerank + emb,617344493.4007723,546.7975194727461
13,decision tree: history + pagerank,597229773.4624491,398.4317206521176
13,decision tree: history + emb,516116306.8564024,436.18307681643483
13,decision tree: pagerank + emb,458322841.33424413,368.70854329835555
13,decision tree: history,496417602.58948755,404.1518370649376
13,decision tree: pagerank,529653741.9794866,1325.544082494115
13,decision tree: emb,476319366.50415426,397.2056014297122
13,decision tree: baseline,618855237.7268724,420.01480953295726
14,persistence,389254216.3497411,313.63677014356773
14,mean,698427256.0653232,307.76423051181825
14,linear regression: history + pagerank + emb,4016797949.911646,1545.2676513949439
14,linear regression: history + pagerank,4010510251.6707954,1544.5526969284815
14,linear regression: history + emb,3968063201.400546,1533.6613964120152
14,linear regression: pagerank + emb,768686762.0744243,219.1584213380182
14,linear regression: history,3968063201.400546,1533.6613964120152
14,linear regression: pagerank,770261159.9060837,219.10611025967913
14,linear regression: emb,779127654.9291161,219.00867069774907
14,linear regression: baseline,780644056.3940595,218.961692197054
14,poisson regression emb,50910753.297813475,928.6552713438151
14,poisson regression pagerank + emb,100.0,928.9914986106052
14,decision tree: history + pagerank + emb,593447138.833434,330.9350570871944
14,decision tree: history + pagerank,488926357.82210183,329.2610331810068
14,decision tree: history + emb,587327880.7208378,394.42200129401624
14,decision tree: pagerank + emb,542502013.2431237,267.2740698958479
14,decision tree: history,595790472.1051869,347.44110423945705
14,decision tree: pagerank,556438065.2179649,348.79197332567304
14,decision tree: emb,535407847.2227719,456.4875609513768
14,decision tree: baseline,679676797.5166637,407.9562725899351
15,persistence,340978355.4109836,221.5843765112471
15,mean,615148201.1352128,195.59493503435888
15,linear regression: history + pagerank + emb,3533809149.3056746,1170.906375935416
15,linear regression: history + pagerank,3520305579.5221195,1171.2039439395137
15,linear regression: history + emb,3537587478.51912,1170.3593598699422
15,linear regression: pagerank + emb,852797934.5954156,231.10130275508482
15,linear regression: history,3537587478.51912,1170.3593598699422
15,linear regression: pagerank,848863488.3900363,231.17439890255187
15,linear regression: emb,841450468.9039983,230.72983743674305
15,linear regression: baseline,837847979.0685892,230.81028133168437
15,poisson regression emb,51517924.025620855,849.4409629054212
15,poisson regression pagerank + emb,100.0,849.7811402077131
15,decision tree: history + pagerank + emb,411639374.79503787,384.20086401926915
15,decision tree: history + pagerank,377847612.6473979,354.9549025938397
15,decision tree: history + emb,372168824.8179786,443.8414329592063
15,decision tree: pagerank + emb,366697225.7134975,238.5994118400767
15,decision tree: history,393459062.39218765,344.53435347370345
15,decision tree: pagerank,442023672.20858604,256.2990877508866
15,decision tree: emb,381413688.5598288,253.77037521049633
15,decision tree: baseline,421982557.8760531,264.42065985106893
16,persistence,318238062.7975331,150.4225620561575
16,mean,549416567.8745842,207.94247257262757
16,linear regression: history + pagerank + emb,2615621733.049694,1049.4329547465761
16,linear regression: history + pagerank,2613190680.3767834,1046.309417067949
16,linear regression: history + emb,2612142872.5187483,1048.2421293052812
16,linear regression: pagerank + emb,620065469.4816375,152.75396386240294
16,linear regression: history,2612142872.5187483,1048.2421293052812
16,linear regression: pagerank,616564652.6357588,152.71343361919287
16,linear regression: emb,573193155.5702523,152.12337529856967
16,linear regression: baseline,569613548.7486746,152.08053423336463
16,poisson regression emb,51758500.875114836,855.578376296756
16,poisson regression pagerank + emb,100.0,855.9235052592667
16,decision tree: history + pagerank + emb,421846725.29839724,165.47765279875986
16,decision tree: history + pagerank,393241943.5960539,229.42424012479634
16,decision tree: history + emb,380713282.6126003,167.52722016979828
16,decision tree: pagerank + emb,317837103.52553636,178.05724437267642
16,decision tree: history,416045821.6264179,171.2890827644346
16,decision tree: pagerank,308763550.91871136,166.19725152605594
16,decision tree: emb,232993479.9685324,179.81993950504224
16,decision tree: baseline,343262401.45665675,167.73755000038412
17,persistence,248207131.84290886,188.66692352078638
17,mean,531204697.6692171,245.99285908855472
17,linear regression: history + pagerank + emb,1989137803.5776153,483.36907921703926
17,linear regression: history + pagerank,1955749629.380542,480.92220726962154
17,linear regression: history + emb,1939979907.9191751,481.0978969598046
17,linear regression: pagerank + emb,653653313.690192,182.51362858371283
17,linear regression: history,1939979907.9191751,481.0978969598046
17,linear regression: pagerank,653303819.0578626,182.54725407618784
17,linear regression: emb,645889606.4297886,180.57225999515495
17,linear regression: baseline,645358578.8920482,180.60581984063202
17,poisson regression emb,51346083.1210191,907.2387237890096
17,poisson regression pagerank + emb,100.0,907.5665456738919
17,decision tree: history + pagerank + emb,325146073.3342108,192.76425070383317
17,decision tree: history + pagerank,356118291.16544205,183.29155878170204
17,decision tree: history + emb,378534685.2502696,263.4352485874752
17,decision tree: pagerank + emb,278920847.69966596,195.03933641635575
17,decision tree: history,349406249.83654565,193.3733619088927
17,decision tree: pagerank,209203763.08384368,196.8073098996709
17,decision tree: emb,244027962.16108167,315.52859045877176
17,decision tree: baseline,279543263.9730175,249.15976079644355
18,persistence,433302788.67443234,163.65792796935008
18,mean,733011481.5667917,213.69364396832125
18,linear regression: history + pagerank + emb,2125117543.8016098,467.20690918819594
18,linear regression: history + pagerank,2135902156.648838,463.0464218199531
18,linear regression: history + emb,2131718379.3116376,463.7940985646778
18,linear regression: pagerank + emb,752369428.3940456,212.6872373463788
18,linear regression: history,2131718379.3116376,463.7940985646778
18,linear regression: pagerank,742010718.739372,212.0936781349369
18,linear regression: emb,725172311.7462212,212.44626964683417
18,linear regression: baseline,716380109.3957626,211.8515887067117
18,poisson regression emb,52812456.441686384,823.332916228629
18,poisson regression pagerank + emb,100.0,823.6713317974991
18,decision tree: history + pagerank + emb,644140228.9721,233.04380078920047
18,decision tree: history + pagerank,654004665.6294303,332.7568380084533
18,decision tree: history + emb,660694062.7634357,405.79531508444967
18,decision tree: pagerank + emb,580707992.3861063,190.8588684560811
18,decision tree: history,642868242.51839,226.36335522131344
18,decision tree: pagerank,597037209.2217848,191.53017883933532
18,decision tree: emb,559319518.1740923,198.37457577867204
18,decision tree: baseline,695238106.019698,230.79966253334985
19,persistence,371428577.16183186,129.54855162522242
19,mean,638237083.6981034,181.06855591893523
19,linear regression: history + pagerank + emb,1376606633.5285928,265.6697072487832
19,linear regression: history + pagerank,1373736305.1535842,267.3012142933485
19,linear regression: history + emb,1380671062.0848923,267.2779948498059
19,linear regression: pagerank + emb,696246192.2549655,116.22507426252506
19,linear regression: history,1380671062.0848923,267.2779948498059
19,linear regression: pagerank,694214030.6850028,116.11377305101429
19,linear regression: emb,691366667.6058784,115.65462814616963
19,linear regression: baseline,689474295.8079004,115.54751240126019
19,poisson regression emb,53018665.73283312,781.9890700651549
19,poisson regression pagerank + emb,100.0,782.3302919135557
19,decision tree: history + pagerank + emb,473616688.5120867,141.47808385093666
19,decision tree: history + pagerank,513550942.7729314,201.46719812317045
19,decision tree: history + emb,465957281.4453754,203.30258227693315
19,decision tree: pagerank + emb,473364654.243009,138.73469375804862
19,decision tree: history,479539697.69361633,154.21964662744807
19,decision tree: pagerank,460900487.8297803,142.88617652379037
19,decision tree: emb,470086992.0703333,149.1045044405281
19,decision tree: baseline,556567988.2415692,158.81959228246703
20,persistence,280066452.4434158,193.25778191321984
20,mean,556303302.081433,227.00451173341335
20,linear regression: history + pagerank + emb,2112810493.234835,596.9710414858981
20,linear regression: history + pagerank,2097670172.319934,595.2810818579048
20,linear regression: history + emb,2094736739.5915184,594.1471193329502
20,linear regression: pagerank + emb,686826389.0982225,244.54585706090268
20,linear regression: history,2094736739.5915184,594.1471193329502
20,linear regression: pagerank,668105536.3449761,243.53267618848557
20,linear regression: emb,676572896.2571802,245.95103937390087
20,linear regression: baseline,656733890.8949684,244.98530134638094
20,poisson regression emb,52377127.398526475,829.7043519859366
20,poisson regression pagerank + emb,100.0,830.039707362193
20,decision tree: history + pagerank + emb,607950521.2697455,216.2801156304411
20,decision tree: history + pagerank,560877867.6096876,296.23488432987546
20,decision tree: history + emb,613526285.7484703,251.04055339377481
